score,year,set,card,number,parallel,total_pop,gem_pop,gem_rate_pct,recent_sales,oldest_comp,latest_comp,momentum_pct,ebay_url,url
0.6213,1981,Topps,Magic Johnson,21,Base,10985,82,0.75,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1981+Topps+Magic+Johnson+%2321+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1981&set_name=Topps&card_number=21&name=Magic%20Johnson&parallel=Base
0.6211,1988,Fleer,Scottie Pippen,20,Base,16922,274,1.62,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1988+Fleer+Scottie+Pippen+%2320+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1988&set_name=Fleer&card_number=20&name=Scottie%20Pippen&parallel=Base
0.6175,1992,Upper Deck,Shaquille O'Neal,1,Base,18117,357,1.97,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1992+Upper+Deck+Shaquille+O%27Neal+%231+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1992&set_name=Upper%20Deck&card_number=1&name=Shaquille%20O%27Neal&parallel=Base
0.6116,1988,Fleer,Reggie Miller,57,Base,12298,197,1.6,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1988+Fleer+Reggie+Miller+%2357+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1988&set_name=Fleer&card_number=57&name=Reggie%20Miller&parallel=Base
0.611,1986,Fleer,Charles Barkley,7,Base,13480,246,1.82,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1986+Fleer+Charles+Barkley+%237+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1986&set_name=Fleer&card_number=7&name=Charles%20Barkley&parallel=Base
0.6092,1990,Hoops,Mark Jackson,205,Base,14649,306,2.09,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1990+Hoops+Mark+Jackson+%23205+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1990&set_name=Hoops&card_number=205&name=Mark%20Jackson&parallel=Base
0.609,1986,Fleer,Patrick Ewing,32,Base,10787,163,1.51,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1986+Fleer+Patrick+Ewing+%2332+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1986&set_name=Fleer&card_number=32&name=Patrick%20Ewing&parallel=Base
0.6055,1988,Fleer,Dennis Rodman,43,Base,12940,270,2.09,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1988+Fleer+Dennis+Rodman+%2343+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1988&set_name=Fleer&card_number=43&name=Dennis%20Rodman&parallel=Base
0.6053,1986,Fleer,Karl Malone,68,Base,11958,233,1.95,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1986+Fleer+Karl+Malone+%2368+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1986&set_name=Fleer&card_number=68&name=Karl%20Malone&parallel=Base
0.6029,1990,Hoops,Michael Jordan,65,Base,25865,894,3.46,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1990+Hoops+Michael+Jordan+%2365+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1990&set_name=Hoops&card_number=65&name=Michael%20Jordan&parallel=Base
